dataset,window_length,window_label,model,r2_mean,has_anomaly
CY-Bench Wheat (Europe),2,2011-2012,Ridge,0.3960902559691554,False
CY-Bench Wheat (Europe),2,2011-2012,XGBoost,0.07930243208471377,False
CY-Bench Wheat (Europe),2,2012-2013,Random Forest,0.2792873721165307,False
CY-Bench Wheat (Europe),2,2012-2013,Ridge,0.32058820938218324,False
CY-Bench Wheat (Europe),2,2012-2013,XGBoost,0.23532759600360564,False
CY-Bench Wheat (Europe),2,2013-2014,Random Forest,0.24609280239411982,False
CY-Bench Wheat (Europe),2,2013-2014,Ridge,0.270798954322693,False
CY-Bench Wheat (Europe),2,2013-2014,XGBoost,0.19116135804683296,False
CY-Bench Wheat (Europe),2,2014-2015,Random Forest,0.23168605433739067,False
CY-Bench Wheat (Europe),2,2014-2015,Ridge,0.42182275275936226,False
CY-Bench Wheat (Europe),2,2014-2015,XGBoost,0.38487343525576007,False
CY-Bench Wheat (Europe),2,2015-2016,Random Forest,0.33253068717364404,False
CY-Bench Wheat (Europe),2,2015-2016,Ridge,0.5226717936568182,False
CY-Bench Wheat (Europe),2,2015-2016,XGBoost,0.15071208089399005,False
CY-Bench Wheat (Europe),2,2016-2017,Random Forest,0.054057044180454684,True
CY-Bench Wheat (Europe),2,2016-2017,Ridge,-0.16764049653096835,True
CY-Bench Wheat (Europe),2,2016-2017,XGBoost,-0.09666193879569866,True
CY-Bench Wheat (Europe),2,2017-2018,Random Forest,-0.9158500670362292,True
CY-Bench Wheat (Europe),2,2017-2018,Ridge,-1.9462980337793185,True
CY-Bench Wheat (Europe),2,2017-2018,XGBoost,-1.274494196926127,True
CY-Bench Wheat (Europe),2,2018-2019,Random Forest,-1.0463181276000737,False
CY-Bench Wheat (Europe),2,2018-2019,Ridge,-1.216088495575848,False
CY-Bench Wheat (Europe),2,2018-2019,XGBoost,-1.2242084530688362,False
CY-Bench Wheat (Europe),2,2019-2020,Random Forest,0.25322063278865364,False
CY-Bench Wheat (Europe),2,2019-2020,Ridge,0.2820836181066653,False
CY-Bench Wheat (Europe),2,2019-2020,XGBoost,0.2686754588993982,False
CY-Bench Wheat (Europe),5,2006-2010,Random Forest,0.16319452396327994,False
CY-Bench Wheat (Europe),5,2006-2010,Ridge,0.2152545772549859,False
CY-Bench Wheat (Europe),5,2006-2010,XGBoost,0.060333270365110825,False
CY-Bench Wheat (Europe),5,2007-2011,Random Forest,0.11045930821632681,False
CY-Bench Wheat (Europe),5,2007-2011,Ridge,0.2507664364662324,False
CY-Bench Wheat (Europe),5,2007-2011,XGBoost,0.14459578060973746,False
CY-Bench Wheat (Europe),5,2008-2012,Random Forest,0.1758118001588939,False
CY-Bench Wheat (Europe),5,2008-2012,Ridge,0.2891314460120725,False
CY-Bench Wheat (Europe),5,2008-2012,XGBoost,0.18160569631039716,False
CY-Bench Wheat (Europe),5,2009-2013,Random Forest,0.17577974314568226,False
CY-Bench Wheat (Europe),5,2009-2013,Ridge,0.23396555818895456,False
CY-Bench Wheat (Europe),5,2009-2013,XGBoost,0.21456362935897663,False
CY-Bench Wheat (Europe),5,2010-2014,Random Forest,0.1962475118028136,False
CY-Bench Wheat (Europe),5,2010-2014,Ridge,0.14621178542261218,False
CY-Bench Wheat (Europe),5,2010-2014,XGBoost,0.18057321292495376,False
CY-Bench Wheat (Europe),5,2011-2015,Random Forest,0.2425593686983283,False
CY-Bench Wheat (Europe),5,2011-2015,Ridge,0.3774375780998798,False
CY-Bench Wheat (Europe),5,2011-2015,XGBoost,0.15182068838743146,False
CY-Bench Wheat (Europe),5,2012-2016,Random Forest,0.3557697153893861,False
CY-Bench Wheat (Europe),5,2012-2016,Ridge,0.44886985913898014,False
CY-Bench Wheat (Europe),5,2012-2016,XGBoost,0.23171191317062337,False
CY-Bench Wheat (Europe),5,2013-2017,Random Forest,0.27357387868639554,True
CY-Bench Wheat (Europe),5,2013-2017,Ridge,0.20330977004838666,True
CY-Bench Wheat (Europe),5,2013-2017,XGBoost,0.11811655345204759,True
CY-Bench Wheat (Europe),5,2014-2018,Random Forest,0.08653700852237896,True
CY-Bench Wheat (Europe),5,2014-2018,Ridge,-0.07186167629588325,True
CY-Bench Wheat (Europe),5,2014-2018,XGBoost,-0.14417276005040325,True
CY-Bench Wheat (Europe),5,2015-2019,Random Forest,-0.2621430236282532,True
CY-Bench Wheat (Europe),5,2015-2019,Ridge,-0.5027797375043382,True
CY-Bench Wheat (Europe),5,2015-2019,XGBoost,-0.3675513895310913,True
CY-Bench Wheat (Europe),5,2016-2020,Random Forest,-0.011065645703840202,True
CY-Bench Wheat (Europe),5,2016-2020,Ridge,-0.29256210855466186,True
CY-Bench Wheat (Europe),5,2016-2020,XGBoost,-0.16898715497204156,True
CY-Bench Maize (Zambia),3,2006-2008,Random Forest,-0.0648114862613089,False
CY-Bench Maize (Zambia),3,2006-2008,Ridge,-0.0045156133146209,False
CY-Bench Maize (Zambia),3,2006-2008,XGBoost,-0.2617555910990997,False
